Day,snap_shot,location,location_abbr,cases,Source
2022-06-29,2022-06-29 23:37:50,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,2,CDC
2022-06-30,2022-06-30 23:10:54,Arizona,AZ,1,CDC
2022-06-30,2022-06-30 23:10:54,California,CA,66,CDC
2022-06-30,2022-06-30 23:10:54,Colorado,CO,7,CDC
2022-06-30,2022-06-30 23:10:54,District of Columbia,DC,20,CDC
2022-06-30,2022-06-30 23:10:54,Florida,FL,27,CDC
2022-06-30,2022-06-30 23:10:54,Georgia,GA,7,CDC
2022-06-30,2022-06-30 23:10:54,Hawaii,HI,6,CDC
2022-06-30,2022-06-30 23:10:54,Illinois,IL,45,CDC
2022-06-30,2022-06-30 23:10:54,Indiana,IN,2,CDC
2022-06-30,2022-06-30 23:10:54,Kentucky,KY,1,CDC
2022-06-30,2022-06-30 23:10:54,Maryland,MD,5,CDC
2022-06-30,2022-06-30 23:10:54,Massachusetts,MA,13,CDC
2022-06-30,2022-06-30 23:10:54,Minnesota,MN,2,CDC
2022-06-30,2022-06-30 23:10:54,Missouri,MO,2,CDC
2022-06-30,2022-06-30 23:10:54,Nebraska,NE,1,CDC
2022-06-30,2022-06-30 23:10:54,Nevada,NV,2,CDC
2022-06-30,2022-06-30 23:10:54,New Jersey,NJ,2,CDC
2022-06-30,2022-06-30 23:10:54,New York,NY,63,CDC
2022-06-30,2022-06-30 23:10:54,North Carolina,NC,2,CDC
2022-06-30,2022-06-30 23:10:54,Ohio,OH,2,CDC
2022-06-30,2022-06-30 23:10:54,Oklahoma,OK,2,CDC
2022-06-30,2022-06-30 23:10:54,Oregon,OR,1,CDC
2022-06-30,2022-06-30 23:10:54,Pennsylvania,PA,4,CDC
2022-06-30,2022-06-30 23:10:54,Rhode Island,RI,1,CDC
2022-06-30,2022-06-30 23:10:54,Texas,TX,7,CDC
2022-06-30,2022-06-30 23:10:54,Utah,UT,4,CDC
2022-06-30,2022-06-30 23:10:54,Virginia,VA,3,CDC
2022-06-30,2022-06-30 23:10:54,Washington,WA,6,CDC
2022-06-30,2022-06-30 23:10:54,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,2,CDC
2022-07-01,2022-07-04 22:35:14,Arizona,AZ,1,CDC
2022-07-01,2022-07-04 22:35:14,Arkansas,AR,1,CDC
2022-07-01,2022-07-04 22:35:14,California,CA,111,CDC
2022-07-01,2022-07-04 22:35:14,Colorado,CO,7,CDC
2022-07-01,2022-07-04 22:35:14,Connecticut,CT,1,CDC
2022-07-01,2022-07-04 22:35:14,District of Columbia,DC,53,CDC
2022-07-01,2022-07-04 22:35:14,Florida,FL,64,CDC
2022-07-01,2022-07-04 22:35:14,Georgia,GA,13,CDC
2022-07-01,2022-07-04 22:35:14,Hawaii,HI,6,CDC
2022-07-01,2022-07-04 22:35:14,Illinois,IL,62,CDC
2022-07-01,2022-07-04 22:35:14,Indiana,IN,5,CDC
2022-07-01,2022-07-04 22:35:14,Iowa,IA,1,CDC
2022-07-01,2022-07-04 22:35:14,Kentucky,KY,2,CDC
2022-07-01,2022-07-04 22:35:14,Maryland,MD,9,CDC
2022-07-01,2022-07-04 22:35:14,Massachusetts,MA,29,CDC
2022-07-01,2022-07-04 22:35:14,Michigan,MI,1,CDC
2022-07-01,2022-07-04 22:35:14,Minnesota,MN,6,CDC
2022-07-01,2022-07-04 22:35:14,Missouri,MO,3,CDC
2022-07-01,2022-07-04 22:35:14,Nebraska,NE,1,CDC
2022-07-01,2022-07-04 22:35:14,Nevada,NV,2,CDC
2022-07-01,2022-07-04 22:35:14,New Hampshire,NH,1,CDC
2022-07-01,2022-07-04 22:35:14,New Jersey,NJ,7,CDC
2022-07-01,2022-07-04 22:35:14,New York,NY,96,CDC
2022-07-01,2022-07-04 22:35:14,North Carolina,NC,2,CDC
2022-07-01,2022-07-04 22:35:14,Ohio,OH,3,CDC
2022-07-01,2022-07-04 22:35:14,Oklahoma,OK,2,CDC
2022-07-01,2022-07-04 22:35:14,Oregon,OR,3,CDC
2022-07-01,2022-07-04 22:35:14,Pennsylvania,PA,17,CDC
2022-07-01,2022-07-04 22:35:14,Puerto Rico,PR,1,CDC
2022-07-01,2022-07-04 22:35:14,Rhode Island,RI,1,CDC
2022-07-01,2022-07-04 22:35:14,Texas,TX,20,CDC
2022-07-01,2022-07-04 22:35:14,Utah,UT,5,CDC
2022-07-01,2022-07-04 22:35:14,Virginia,VA,13,CDC
2022-07-01,2022-07-04 22:35:14,Washington,WA,7,CDC
2022-07-01,2022-07-04 22:35:14,Wisconsin,WI,1,CDC
2022-07-01,2022-07-04 22:35:14,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,3,CDC
2022-07-05,2022-07-05 23:50:58,Arizona,AZ,1,CDC
