time_stamp,snap_shot,State,Abbr,Cases,Range
2022-06-28,2022-06-28 22 39 00,Rhode Island,RI,1,1 to 2
2022-06-28,2022-06-28 22 39 00,Texas,TX,7,1 to 2
2022-06-28,2022-06-28 22 39 00,Utah,UT,4,1 to 2
2022-06-28,2022-06-28 22 39 00,Virginia,VA,3,1 to 2
2022-06-28,2022-06-28 22 39 00,Washington,WA,6,1 to 2
2022-06-28,2022-06-28 22 39 00,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,2,1 to 2
2022-06-27,2022-06-27 23 55 23,Arizona,AZ,1,1 to 2
2022-06-27,2022-06-27 23 55 23,California,CA,66,1 to 2
2022-06-27,2022-06-27 23 55 23,Colorado,CO,7,1 to 2
2022-06-27,2022-06-27 23 55 23,District of Columbia,DC,20,1 to 2
2022-06-27,2022-06-27 23 55 23,Florida,FL,27,1 to 2
2022-06-27,2022-06-27 23 55 23,Georgia,GA,7,1 to 2
2022-06-27,2022-06-27 23 55 23,Hawaii,HI,6,1 to 2
2022-06-27,2022-06-27 23 55 23,Illinois,IL,45,1 to 2
2022-06-27,2022-06-27 23 55 23,Indiana,IN,2,1 to 2
2022-06-27,2022-06-27 23 55 23,Kentucky,KY,1,1 to 2
2022-06-27,2022-06-27 23 55 23,Maryland,MD,5,1 to 2
2022-06-27,2022-06-27 23 55 23,Massachusetts,MA,13,1 to 2
2022-06-27,2022-06-27 23 55 23,Minnesota,MN,2,1 to 2
2022-06-27,2022-06-27 23 55 23,Missouri,MO,2,1 to 2
2022-06-27,2022-06-27 23 55 23,Nebraska,NE,1,1 to 2
2022-06-27,2022-06-27 23 55 23,Nevada,NV,2,1 to 2
2022-06-27,2022-06-27 23 55 23,New Jersey,NJ,2,1 to 2
2022-06-27,2022-06-27 23 55 23,New York,NY,63,1 to 2
2022-06-27,2022-06-27 23 55 23,North Carolina,NC,2,1 to 2
2022-06-27,2022-06-27 23 55 23,Ohio,OH,2,1 to 2
2022-06-27,2022-06-27 23 55 23,Oklahoma,OK,2,1 to 2
